Gene model,E-value
SymbC1.scaffold13535.2,0
SymbC1.scaffold13535.3,2.05E-41
SymbC1.scaffold1354.1,3.85E-78
SymbC1.scaffold1354.5,6.74E-65
SymbC1.scaffold13540.1,7.15E-09
SymbC1.scaffold1355.1,7.12E-19
SymbC1.scaffold1355.10,3.60E-15
SymbC1.scaffold1355.4,9.17E-43
SymbC1.scaffold1355.6,0
SymbC1.scaffold1355.7,2.83E-24
SymbC1.scaffold1355.8,2.58E-49
SymbC1.scaffold1355.9,1.96E-54
SymbC1.scaffold13552.1,3.50E-125
SymbC1.scaffold1356.1,1.82E-24
SymbC1.scaffold1356.2,1.25E-12
SymbC1.scaffold13563.1,5.58E-59
SymbC1.scaffold13564.2,1.25E-19
SymbC1.scaffold1357.1,6.94E-40
SymbC1.scaffold1357.2,1.58E-07
SymbC1.scaffold1357.3,4.28E-19
SymbC1.scaffold13573.1,1.47E-20
SymbC1.scaffold13575.1,5.27E-19
SymbC1.scaffold13576.2,2.49E-10
SymbC1.scaffold13576.4,1.73E-54
SymbC1.scaffold13578.2,5.00E-62
SymbC1.scaffold1358.1,1.71E-08
SymbC1.scaffold1358.10,9.85E-80
SymbC1.scaffold1358.11,0
SymbC1.scaffold1358.12,0
SymbC1.scaffold1358.13,1.25E-97
SymbC1.scaffold1358.3,5.52E-107
SymbC1.scaffold1358.5,6.68E-29
SymbC1.scaffold1358.6,6.88E-73
SymbC1.scaffold1358.7,4.26E-105
SymbC1.scaffold1358.8,9.33E-142
SymbC1.scaffold1358.9,8.53E-23
SymbC1.scaffold13582.1,1.08E-60
SymbC1.scaffold1359.1,0
SymbC1.scaffold13592.2,7.69E-06
SymbC1.scaffold13592.4,0
SymbC1.scaffold136.10,2.46E-52
SymbC1.scaffold136.11,0
SymbC1.scaffold136.4,4.00E-30
SymbC1.scaffold136.6,5.67E-26
SymbC1.scaffold136.7,1.86E-79
SymbC1.scaffold1360.1,7.23E-06
SymbC1.scaffold1360.2,2.74E-36
SymbC1.scaffold1360.4,1.69E-84
SymbC1.scaffold13609.1,4.37E-135
SymbC1.scaffold13615.1,9.16E-48
SymbC1.scaffold1362.1,4.75E-47
SymbC1.scaffold1362.10,7.30E-07
SymbC1.scaffold1362.11,4.08E-09
SymbC1.scaffold1362.12,2.47E-07
SymbC1.scaffold1362.13,2.05E-59
SymbC1.scaffold1362.14,3.07E-57
SymbC1.scaffold1362.15,4.57E-06
SymbC1.scaffold1362.17,9.90E-06
SymbC1.scaffold1362.18,8.00E-101
SymbC1.scaffold1362.2,2.18E-57
SymbC1.scaffold1362.3,1.86E-20
SymbC1.scaffold1362.5,3.69E-15
SymbC1.scaffold1362.6,4.72E-70
SymbC1.scaffold1362.7,8.16E-30
SymbC1.scaffold1362.8,4.32E-09
SymbC1.scaffold1362.9,1.04E-46
SymbC1.scaffold13620.1,3.51E-18
SymbC1.scaffold13621.1,8.72E-09
SymbC1.scaffold13624.1,2.32E-57
SymbC1.scaffold13624.2,2.34E-09
SymbC1.scaffold13625.1,4.13E-144
SymbC1.scaffold13629.1,4.86E-12
SymbC1.scaffold1363.1,4.17E-111
SymbC1.scaffold1363.2,8.23E-07
SymbC1.scaffold1363.3,1.24E-147
SymbC1.scaffold1363.4,5.66E-44
SymbC1.scaffold1364.10,5.62E-32
SymbC1.scaffold1364.11,6.07E-07
SymbC1.scaffold1364.9,0
SymbC1.scaffold13641.2,1.11E-26
SymbC1.scaffold13649.1,2.37E-16
SymbC1.scaffold1365.2,6.75E-06
SymbC1.scaffold1365.3,1.67E-17
SymbC1.scaffold1365.5,1.10E-19
SymbC1.scaffold1365.6,9.36E-23
SymbC1.scaffold1365.7,4.32E-57
SymbC1.scaffold1365.8,1.44E-73
SymbC1.scaffold13650.1,4.51E-40
SymbC1.scaffold13659.1,6.64E-12
SymbC1.scaffold1366.5,2.73E-62
SymbC1.scaffold1366.7,2.45E-06
SymbC1.scaffold13663.2,1.72E-130
SymbC1.scaffold13666.2,8.13E-65
SymbC1.scaffold13667.1,3.22E-15
SymbC1.scaffold13667.2,3.81E-26
SymbC1.scaffold13667.4,1.22E-14
SymbC1.scaffold1367.1,1.23E-51
SymbC1.scaffold1367.3,2.26E-105
SymbC1.scaffold1367.4,0
SymbC1.scaffold1367.7,5.18E-178
SymbC1.scaffold13673.1,5.29E-13
SymbC1.scaffold13676.2,1.48E-179
SymbC1.scaffold1368.1,3.57E-84
SymbC1.scaffold1368.3,1.33E-77
SymbC1.scaffold1368.4,1.02E-89
SymbC1.scaffold1368.5,1.87E-07
SymbC1.scaffold13681.1,1.49E-06
SymbC1.scaffold13685.1,7.32E-84
SymbC1.scaffold1369.1,2.15E-95
SymbC1.scaffold1369.3,8.27E-15
SymbC1.scaffold1369.4,2.47E-13
SymbC1.scaffold13693.1,3.52E-22
SymbC1.scaffold13693.2,0
SymbC1.scaffold13693.3,9.96E-60
SymbC1.scaffold13694.1,1.03E-42
SymbC1.scaffold13695.1,9.19E-15
SymbC1.scaffold13697.1,5.34E-14
SymbC1.scaffold13698.1,3.58E-29
SymbC1.scaffold13699.1,9.02E-08
SymbC1.scaffold137.1,2.84E-26
SymbC1.scaffold1370.1,6.48E-21
SymbC1.scaffold1370.2,1.75E-24
SymbC1.scaffold1370.3,2.83E-58
SymbC1.scaffold1370.4,2.12E-138
SymbC1.scaffold1370.5,3.25E-41
SymbC1.scaffold1370.6,2.29E-54
SymbC1.scaffold1370.8,9.92E-55
SymbC1.scaffold13705.3,1.11E-35
SymbC1.scaffold13705.4,8.53E-12
SymbC1.scaffold13709.1,0
SymbC1.scaffold1371.3,1.28E-07
SymbC1.scaffold1371.6,9.90E-06
SymbC1.scaffold13710.1,3.18E-70
SymbC1.scaffold1372.1,2.64E-156
SymbC1.scaffold1372.4,9.92E-06
SymbC1.scaffold1372.6,4.19E-78
SymbC1.scaffold1372.7,4.26E-25
SymbC1.scaffold13720.1,3.07E-45
SymbC1.scaffold1373.10,2.11E-21
SymbC1.scaffold1373.3,1.72E-11
SymbC1.scaffold1373.4,1.22E-15
SymbC1.scaffold1373.9,1.53E-99
SymbC1.scaffold1374.1,1.33E-20
SymbC1.scaffold13744.1,5.61E-13
SymbC1.scaffold1375.1,0
SymbC1.scaffold1375.2,7.52E-89
SymbC1.scaffold1375.4,2.97E-10
SymbC1.scaffold13758.1,9.24E-140
SymbC1.scaffold1376.3,1.57E-42
SymbC1.scaffold1376.4,8.84E-87
SymbC1.scaffold13771.3,1.22E-23
SymbC1.scaffold13772.1,6.20E-09
SymbC1.scaffold13774.1,4.10E-10
SymbC1.scaffold13775.1,1.57E-23
SymbC1.scaffold1378.1,1.49E-07
SymbC1.scaffold1378.2,7.69E-08
SymbC1.scaffold13780.1,6.60E-39
SymbC1.scaffold13780.2,2.24E-33
SymbC1.scaffold13782.1,3.75E-84
SymbC1.scaffold13784.2,1.26E-13
SymbC1.scaffold1379.2,4.54E-13
SymbC1.scaffold1379.4,0
SymbC1.scaffold1379.6,4.76E-37
SymbC1.scaffold1379.7,7.97E-20
SymbC1.scaffold13792.1,4.76E-65
SymbC1.scaffold13793.1,0
SymbC1.scaffold13797.1,8.77E-12
SymbC1.scaffold138.1,3.33E-95
SymbC1.scaffold138.4,4.02E-61
SymbC1.scaffold138.5,6.31E-150
SymbC1.scaffold1380.1,2.81E-110
SymbC1.scaffold1380.2,6.98E-67
SymbC1.scaffold1380.3,3.57E-99
SymbC1.scaffold1380.4,9.13E-118
SymbC1.scaffold1380.5,1.04E-108
SymbC1.scaffold1380.6,7.94E-84
SymbC1.scaffold1380.9,2.36E-14
SymbC1.scaffold13801.1,3.02E-81
SymbC1.scaffold1381.1,4.26E-14
SymbC1.scaffold1381.2,6.81E-50
SymbC1.scaffold1381.3,2.69E-18
SymbC1.scaffold1381.4,7.91E-150
SymbC1.scaffold1381.5,2.01E-10
SymbC1.scaffold1381.6,6.53E-22
SymbC1.scaffold13810.1,2.46E-22
SymbC1.scaffold13812.1,0
SymbC1.scaffold1382.1,4.89E-23
SymbC1.scaffold1382.10,2.76E-46
SymbC1.scaffold1382.11,0
SymbC1.scaffold1382.12,3.81E-27
SymbC1.scaffold1382.14,2.44E-10
SymbC1.scaffold1382.15,4.59E-08
SymbC1.scaffold1382.16,6.98E-78
SymbC1.scaffold1382.17,4.83E-57
SymbC1.scaffold1382.2,3.35E-92
SymbC1.scaffold1382.3,3.74E-23
SymbC1.scaffold1382.6,4.25E-10
SymbC1.scaffold1382.8,1.64E-16
SymbC1.scaffold1382.9,8.87E-31
SymbC1.scaffold13822.1,3.25E-15
SymbC1.scaffold13822.2,4.51E-45
SymbC1.scaffold13827.2,0
SymbC1.scaffold13827.3,8.41E-18
SymbC1.scaffold13828.1,3.45E-57
SymbC1.scaffold1383.1,2.02E-14
SymbC1.scaffold1383.2,4.44E-70
SymbC1.scaffold1383.3,2.03E-43
SymbC1.scaffold13838.1,5.43E-73
SymbC1.scaffold1384.1,3.15E-67
SymbC1.scaffold1384.2,0
SymbC1.scaffold1384.4,2.42E-50
SymbC1.scaffold13843.1,1.50E-19
SymbC1.scaffold13845.1,1.82E-21
SymbC1.scaffold13845.2,9.79E-15
SymbC1.scaffold13848.1,2.93E-36
SymbC1.scaffold13849.1,6.96E-179
SymbC1.scaffold1385.1,8.80E-06
SymbC1.scaffold13853.2,6.39E-112
SymbC1.scaffold13854.1,0
SymbC1.scaffold1386.1,2.24E-15
SymbC1.scaffold1387.1,1.17E-70
SymbC1.scaffold1387.10,8.55E-12
SymbC1.scaffold1387.11,1.76E-11
SymbC1.scaffold1387.2,5.66E-21
SymbC1.scaffold13878.2,3.27E-13
SymbC1.scaffold1388.1,4.39E-17
SymbC1.scaffold1388.2,2.72E-07
SymbC1.scaffold1388.3,3.81E-09
SymbC1.scaffold1388.4,3.99E-21
SymbC1.scaffold13880.1,2.48E-38
SymbC1.scaffold13881.1,1.52E-08
SymbC1.scaffold13888.1,1.37E-34
SymbC1.scaffold13888.2,0
SymbC1.scaffold13889.1,2.04E-07
SymbC1.scaffold1389.10,1.26E-13
SymbC1.scaffold1389.11,1.09E-89
SymbC1.scaffold1389.3,7.75E-17
SymbC1.scaffold1389.4,6.99E-16
SymbC1.scaffold1389.5,1.65E-22
SymbC1.scaffold1389.6,8.48E-21
SymbC1.scaffold1389.7,1.20E-14
SymbC1.scaffold1389.9,3.04E-99
SymbC1.scaffold13891.1,1.56E-122
SymbC1.scaffold13896.2,1.93E-149
SymbC1.scaffold13896.3,6.38E-08
SymbC1.scaffold13898.2,8.18E-84
SymbC1.scaffold13899.1,4.83E-06
SymbC1.scaffold139.1,2.88E-09
SymbC1.scaffold139.11,7.35E-18
SymbC1.scaffold139.12,7.30E-43
SymbC1.scaffold139.13,2.97E-35
SymbC1.scaffold139.4,7.09E-16
SymbC1.scaffold139.5,3.49E-113
SymbC1.scaffold139.6,2.27E-57
SymbC1.scaffold139.7,9.77E-09
SymbC1.scaffold139.9,1.16E-113
SymbC1.scaffold1390.2,7.36E-14
SymbC1.scaffold1390.4,3.17E-43
SymbC1.scaffold1390.5,8.57E-13
SymbC1.scaffold1390.6,7.35E-60
SymbC1.scaffold13901.1,5.88E-130
SymbC1.scaffold13902.1,3.50E-16
SymbC1.scaffold13903.1,1.10E-44
SymbC1.scaffold13905.1,5.66E-20
SymbC1.scaffold13906.1,4.62E-80
SymbC1.scaffold13908.1,3.32E-24
SymbC1.scaffold1391.10,6.16E-150
SymbC1.scaffold1391.2,1.82E-147
SymbC1.scaffold1391.3,6.79E-13
SymbC1.scaffold1391.4,3.02E-07
SymbC1.scaffold1391.5,8.91E-123
SymbC1.scaffold1391.6,2.54E-84
SymbC1.scaffold1391.7,5.60E-103
SymbC1.scaffold13914.1,0
SymbC1.scaffold13915.1,1.35E-51
SymbC1.scaffold13918.1,9.46E-95
SymbC1.scaffold1392.1,1.09E-84
SymbC1.scaffold1392.2,1.23E-08
SymbC1.scaffold1392.3,7.06E-162
SymbC1.scaffold1392.5,2.56E-56
SymbC1.scaffold1392.7,2.51E-81
SymbC1.scaffold13923.1,1.76E-46
SymbC1.scaffold13925.1,4.59E-06
SymbC1.scaffold13925.2,5.69E-54
SymbC1.scaffold13927.1,0
SymbC1.scaffold1393.2,2.34E-23
SymbC1.scaffold1393.3,1.76E-55
SymbC1.scaffold13933.1,9.77E-88
SymbC1.scaffold13936.1,9.97E-51
SymbC1.scaffold13937.1,1.38E-08
SymbC1.scaffold1394.1,9.45E-16
SymbC1.scaffold13943.1,2.00E-24
SymbC1.scaffold13946.1,2.43E-127
SymbC1.scaffold13946.2,5.13E-177
SymbC1.scaffold13946.3,3.55E-13
SymbC1.scaffold1395.1,1.40E-22
SymbC1.scaffold1395.2,1.75E-86
SymbC1.scaffold1395.3,2.72E-55
SymbC1.scaffold1395.5,3.66E-15
SymbC1.scaffold1395.7,0
SymbC1.scaffold13952.1,2.37E-35
SymbC1.scaffold13952.2,1.48E-54
SymbC1.scaffold13958.1,7.49E-109
SymbC1.scaffold13959.1,3.51E-23
SymbC1.scaffold1396.4,9.40E-15
SymbC1.scaffold13963.1,5.67E-64
SymbC1.scaffold13966.1,2.81E-21
SymbC1.scaffold13968.1,4.18E-19
SymbC1.scaffold1397.1,3.72E-06
SymbC1.scaffold13973.1,5.99E-31
SymbC1.scaffold13977.2,3.66E-41
SymbC1.scaffold13978.1,4.34E-51
SymbC1.scaffold1398.1,3.62E-27
SymbC1.scaffold1398.3,4.04E-135
SymbC1.scaffold1398.4,3.00E-78
SymbC1.scaffold1398.5,2.01E-28
SymbC1.scaffold13981.1,0
SymbC1.scaffold1399.1,1.71E-16
SymbC1.scaffold1399.2,1.33E-06
SymbC1.scaffold1399.3,5.78E-83
SymbC1.scaffold1399.4,9.77E-11
SymbC1.scaffold1399.5,7.97E-18
SymbC1.scaffold1399.6,1.29E-07
SymbC1.scaffold140.1,6.56E-69
SymbC1.scaffold140.3,6.11E-23
SymbC1.scaffold1400.2,7.82E-13
SymbC1.scaffold1400.4,2.20E-39
SymbC1.scaffold14006.1,5.26E-82
SymbC1.scaffold14009.1,1.13E-87
SymbC1.scaffold1401.10,8.31E-58
SymbC1.scaffold1401.11,2.72E-47
SymbC1.scaffold1401.12,0
SymbC1.scaffold1401.13,2.08E-53
SymbC1.scaffold1401.14,8.25E-20
SymbC1.scaffold1401.15,4.14E-33
SymbC1.scaffold1401.16,4.81E-20
SymbC1.scaffold1401.4,1.05E-61
SymbC1.scaffold1401.5,0
SymbC1.scaffold1401.6,2.38E-11
SymbC1.scaffold1401.7,2.06E-121
SymbC1.scaffold1401.8,3.30E-21
SymbC1.scaffold1401.9,1.20E-169
SymbC1.scaffold14014.1,4.10E-27
SymbC1.scaffold1402.1,1.98E-08
SymbC1.scaffold1402.2,2.73E-37
SymbC1.scaffold1402.3,3.65E-45
SymbC1.scaffold14028.2,1.48E-10
SymbC1.scaffold1403.1,1.70E-65
SymbC1.scaffold1403.2,1.36E-74
SymbC1.scaffold1403.4,3.10E-25
SymbC1.scaffold1403.5,2.93E-20
SymbC1.scaffold1403.7,1.39E-07
SymbC1.scaffold1403.8,1.32E-10
SymbC1.scaffold1403.9,3.01E-53
SymbC1.scaffold14030.1,3.03E-08
SymbC1.scaffold1404.2,1.08E-11
SymbC1.scaffold1404.3,2.55E-14
SymbC1.scaffold14041.2,3.64E-16
SymbC1.scaffold1405.1,9.65E-19
SymbC1.scaffold1405.2,2.74E-105
SymbC1.scaffold14053.2,2.15E-70
SymbC1.scaffold1406.1,1.69E-47
SymbC1.scaffold1406.2,3.23E-06
SymbC1.scaffold1406.3,2.16E-113
SymbC1.scaffold1406.4,4.81E-85
SymbC1.scaffold1406.5,4.27E-104
SymbC1.scaffold1406.6,3.77E-143
SymbC1.scaffold14064.1,4.12E-40
SymbC1.scaffold14068.1,6.78E-12
SymbC1.scaffold1407.3,4.32E-08
SymbC1.scaffold14075.1,2.45E-47
SymbC1.scaffold1408.1,8.14E-41
SymbC1.scaffold14081.1,3.27E-07
SymbC1.scaffold14082.1,2.93E-100
SymbC1.scaffold14086.1,3.03E-08
SymbC1.scaffold1409.2,4.14E-14
SymbC1.scaffold1409.3,4.06E-11
SymbC1.scaffold1409.4,2.80E-132
SymbC1.scaffold1409.5,7.61E-06
SymbC1.scaffold1409.6,1.96E-15
SymbC1.scaffold14090.1,6.25E-141
SymbC1.scaffold14094.2,6.27E-11
SymbC1.scaffold14095.1,7.32E-14
SymbC1.scaffold141.11,5.82E-07
SymbC1.scaffold141.5,1.83E-104
SymbC1.scaffold141.6,8.26E-09
SymbC1.scaffold141.7,6.69E-114
SymbC1.scaffold1410.1,1.17E-85
SymbC1.scaffold14100.1,4.62E-66
SymbC1.scaffold14105.2,1.06E-46
SymbC1.scaffold14109.2,1.95E-35
SymbC1.scaffold14109.3,1.27E-161
SymbC1.scaffold1411.1,9.20E-08
SymbC1.scaffold1411.2,2.42E-15
SymbC1.scaffold1411.3,1.37E-103
SymbC1.scaffold1411.4,1.50E-46
SymbC1.scaffold1411.7,1.85E-08
SymbC1.scaffold14111.1,2.31E-24
SymbC1.scaffold14113.3,2.40E-46
SymbC1.scaffold14115.1,6.54E-62
SymbC1.scaffold1412.1,0
SymbC1.scaffold1412.17,7.69E-10
SymbC1.scaffold1412.2,4.09E-25
SymbC1.scaffold1412.20,5.73E-52
SymbC1.scaffold1412.21,7.39E-80
SymbC1.scaffold1412.24,2.60E-09
SymbC1.scaffold1412.26,1.55E-72
SymbC1.scaffold1412.29,1.24E-50
SymbC1.scaffold1412.32,0
SymbC1.scaffold1412.33,3.39E-14
SymbC1.scaffold1412.34,2.27E-126
SymbC1.scaffold1412.37,1.32E-44
SymbC1.scaffold1412.38,1.67E-17
SymbC1.scaffold1412.4,3.19E-153
SymbC1.scaffold1412.6,2.75E-78
SymbC1.scaffold1412.7,6.52E-28
SymbC1.scaffold1412.8,1.31E-45
SymbC1.scaffold1412.9,8.71E-21
SymbC1.scaffold1413.2,1.36E-15
SymbC1.scaffold1413.3,9.32E-48
SymbC1.scaffold1413.4,4.76E-38
SymbC1.scaffold1414.1,5.24E-16
SymbC1.scaffold1414.2,4.94E-17
SymbC1.scaffold1414.8,1.61E-51
SymbC1.scaffold1415.1,1.28E-23
SymbC1.scaffold1415.10,1.19E-06
SymbC1.scaffold1415.11,1.36E-13
SymbC1.scaffold1415.2,1.60E-25
SymbC1.scaffold1415.4,1.42E-09
SymbC1.scaffold1415.5,7.50E-26
SymbC1.scaffold1415.6,4.67E-79
SymbC1.scaffold1415.7,8.65E-83
SymbC1.scaffold1415.9,5.58E-21
SymbC1.scaffold14153.1,5.06E-61
SymbC1.scaffold14154.2,8.00E-66
SymbC1.scaffold14156.1,6.70E-21
SymbC1.scaffold14158.2,1.90E-32
SymbC1.scaffold1416.1,0
SymbC1.scaffold1416.2,8.50E-21
SymbC1.scaffold1416.3,1.43E-09
SymbC1.scaffold1416.4,0
SymbC1.scaffold1416.5,7.58E-23
SymbC1.scaffold1416.6,1.61E-35
SymbC1.scaffold1416.7,1.88E-15
SymbC1.scaffold14165.1,4.59E-33
SymbC1.scaffold14166.2,2.13E-07
SymbC1.scaffold14168.1,3.83E-06
SymbC1.scaffold1417.1,9.94E-06
SymbC1.scaffold1417.2,4.40E-43
SymbC1.scaffold1417.4,1.40E-125
SymbC1.scaffold1417.5,2.63E-97
SymbC1.scaffold1417.6,9.02E-30
SymbC1.scaffold14170.1,7.59E-61
SymbC1.scaffold14178.2,5.75E-12
SymbC1.scaffold1418.1,1.22E-27
SymbC1.scaffold1418.2,6.06E-07
SymbC1.scaffold1418.3,5.70E-17
SymbC1.scaffold1418.4,2.40E-09
SymbC1.scaffold1418.5,2.22E-09
SymbC1.scaffold1418.6,3.77E-102
SymbC1.scaffold1419.1,4.12E-15
SymbC1.scaffold14196.1,1.74E-17
SymbC1.scaffold1420.2,1.40E-14
SymbC1.scaffold1420.3,1.81E-62
SymbC1.scaffold1420.4,5.11E-43
SymbC1.scaffold14200.1,1.26E-53
SymbC1.scaffold1421.1,1.78E-180
SymbC1.scaffold14223.1,2.04E-50
SymbC1.scaffold14228.2,6.17E-76
SymbC1.scaffold14229.1,8.52E-94
SymbC1.scaffold14229.3,5.81E-41
SymbC1.scaffold1423.11,1.14E-137
SymbC1.scaffold1423.12,2.18E-168
SymbC1.scaffold1423.4,3.68E-41
SymbC1.scaffold1423.5,1.51E-23
SymbC1.scaffold1423.6,2.79E-160
SymbC1.scaffold1423.9,2.24E-06
SymbC1.scaffold14232.1,2.35E-34
SymbC1.scaffold14232.2,6.66E-10
SymbC1.scaffold14234.1,3.79E-109
SymbC1.scaffold1424.1,2.39E-14
SymbC1.scaffold1424.2,6.13E-92
SymbC1.scaffold14242.1,3.79E-17
SymbC1.scaffold14246.1,1.46E-39
SymbC1.scaffold14246.2,1.28E-66
SymbC1.scaffold14248.6,1.62E-10
SymbC1.scaffold1425.1,2.97E-07
SymbC1.scaffold1425.4,2.03E-07
SymbC1.scaffold1425.5,1.93E-07
SymbC1.scaffold14252.1,0
SymbC1.scaffold1426.1,9.92E-25
SymbC1.scaffold1426.2,3.17E-145
SymbC1.scaffold1426.3,4.48E-139
SymbC1.scaffold1426.6,7.07E-34
SymbC1.scaffold1426.7,2.65E-11
SymbC1.scaffold1426.8,3.71E-29
SymbC1.scaffold14261.1,2.66E-74
SymbC1.scaffold14266.1,4.36E-50
SymbC1.scaffold1427.1,8.99E-12
SymbC1.scaffold1427.2,1.27E-07
SymbC1.scaffold1427.4,3.74E-64
SymbC1.scaffold1427.5,2.24E-11
SymbC1.scaffold1427.6,1.83E-13
SymbC1.scaffold14275.3,8.63E-74
SymbC1.scaffold14278.1,2.37E-13
SymbC1.scaffold1428.2,0
SymbC1.scaffold1428.3,8.83E-111
SymbC1.scaffold1428.4,2.41E-13
SymbC1.scaffold14285.1,0
SymbC1.scaffold14286.1,8.45E-18
SymbC1.scaffold1429.2,9.90E-14
SymbC1.scaffold14293.1,3.71E-64
SymbC1.scaffold14294.1,5.05E-14
SymbC1.scaffold143.1,1.47E-39
SymbC1.scaffold143.10,3.98E-13
SymbC1.scaffold143.11,4.96E-19
SymbC1.scaffold143.12,1.68E-10
SymbC1.scaffold143.13,6.72E-97
SymbC1.scaffold143.14,4.25E-24
SymbC1.scaffold143.15,1.06E-40
SymbC1.scaffold143.16,1.58E-37
SymbC1.scaffold143.17,2.11E-61
SymbC1.scaffold143.18,4.73E-42
SymbC1.scaffold143.19,1.57E-16
SymbC1.scaffold143.2,3.85E-143
SymbC1.scaffold143.20,6.65E-178
SymbC1.scaffold143.21,1.77E-70
SymbC1.scaffold143.22,1.42E-12
SymbC1.scaffold143.24,4.87E-168
SymbC1.scaffold143.25,9.75E-44
SymbC1.scaffold143.26,2.14E-143
SymbC1.scaffold143.27,1.98E-100
SymbC1.scaffold143.28,2.77E-46
SymbC1.scaffold143.3,1.20E-16
SymbC1.scaffold143.4,1.22E-48
SymbC1.scaffold143.5,4.61E-40
SymbC1.scaffold143.6,3.53E-10
SymbC1.scaffold143.7,1.37E-11
SymbC1.scaffold143.8,1.53E-06
SymbC1.scaffold143.9,3.06E-154
SymbC1.scaffold1430.4,3.54E-12
SymbC1.scaffold14309.1,2.43E-26
SymbC1.scaffold1431.1,1.53E-18
SymbC1.scaffold1431.2,2.34E-20
SymbC1.scaffold1431.3,1.46E-72
SymbC1.scaffold1431.5,2.72E-13
SymbC1.scaffold14310.1,3.98E-32
SymbC1.scaffold14316.2,2.10E-150
SymbC1.scaffold1432.1,7.34E-11
SymbC1.scaffold1432.2,1.07E-93
SymbC1.scaffold1432.3,7.30E-12
SymbC1.scaffold14323.1,1.22E-15
SymbC1.scaffold14324.1,9.66E-90
SymbC1.scaffold1433.1,1.11E-10
SymbC1.scaffold1433.2,5.34E-104
SymbC1.scaffold1433.3,1.32E-65
SymbC1.scaffold14330.1,1.50E-07
SymbC1.scaffold14331.1,1.49E-24
SymbC1.scaffold14337.4,8.81E-23
SymbC1.scaffold1434.1,5.13E-45
SymbC1.scaffold1434.10,1.08E-22
SymbC1.scaffold1434.2,4.41E-32
SymbC1.scaffold1434.4,9.50E-35
SymbC1.scaffold1434.5,1.49E-80
SymbC1.scaffold1434.6,1.79E-25
SymbC1.scaffold1434.9,1.60E-27
SymbC1.scaffold14343.1,0
SymbC1.scaffold14343.3,5.46E-18
SymbC1.scaffold14345.1,2.03E-30
SymbC1.scaffold1435.1,7.86E-10
SymbC1.scaffold14356.1,4.34E-18
SymbC1.scaffold14359.2,3.27E-32
SymbC1.scaffold1436.1,1.74E-13
SymbC1.scaffold1436.2,4.96E-35
SymbC1.scaffold14360.1,5.48E-53
SymbC1.scaffold14360.2,4.54E-42
SymbC1.scaffold14367.1,1.40E-17
SymbC1.scaffold14370.1,1.24E-08
SymbC1.scaffold14372.3,0
SymbC1.scaffold14372.4,5.91E-149
SymbC1.scaffold1438.3,5.20E-42
SymbC1.scaffold1438.4,1.42E-28
SymbC1.scaffold1438.6,1.20E-159
SymbC1.scaffold1438.7,3.63E-16
SymbC1.scaffold1439.1,1.14E-07
SymbC1.scaffold1439.2,1.06E-35
SymbC1.scaffold1439.3,1.32E-94
SymbC1.scaffold1439.5,7.91E-20
SymbC1.scaffold1439.6,1.92E-42
SymbC1.scaffold1439.9,1.27E-33
SymbC1.scaffold14391.1,7.14E-07
SymbC1.scaffold14393.1,3.24E-38
SymbC1.scaffold1440.1,6.66E-97
SymbC1.scaffold1440.3,3.34E-104
SymbC1.scaffold1440.4,2.97E-66
SymbC1.scaffold14401.1,2.14E-08
SymbC1.scaffold14403.2,1.14E-90
SymbC1.scaffold14405.1,0
SymbC1.scaffold14408.1,1.02E-36
SymbC1.scaffold1441.10,4.63E-116
SymbC1.scaffold1441.11,1.87E-11
SymbC1.scaffold1441.2,8.75E-26
SymbC1.scaffold1441.5,2.22E-14
SymbC1.scaffold1441.6,2.05E-17
SymbC1.scaffold1441.7,9.94E-06
SymbC1.scaffold1441.8,3.86E-137
SymbC1.scaffold14418.1,2.42E-31
SymbC1.scaffold14418.2,3.44E-165
SymbC1.scaffold14418.3,1.84E-06
SymbC1.scaffold14420.1,3.85E-47
SymbC1.scaffold14424.1,5.71E-14
SymbC1.scaffold14427.1,1.46E-59
SymbC1.scaffold14427.2,2.74E-20
SymbC1.scaffold1443.2,7.94E-86
SymbC1.scaffold1443.3,2.40E-51
SymbC1.scaffold1443.4,2.19E-61
SymbC1.scaffold1443.5,3.98E-09
SymbC1.scaffold1443.6,7.89E-179
SymbC1.scaffold14430.1,2.47E-19
SymbC1.scaffold14431.1,2.33E-39
SymbC1.scaffold14435.1,1.29E-33
SymbC1.scaffold14435.2,2.87E-24
SymbC1.scaffold1444.1,1.90E-53
SymbC1.scaffold1444.4,7.60E-08
SymbC1.scaffold14446.1,2.49E-07
SymbC1.scaffold14448.1,1.71E-14
SymbC1.scaffold1445.1,9.61E-113
SymbC1.scaffold1445.10,8.60E-13
SymbC1.scaffold1445.3,1.46E-15
SymbC1.scaffold1445.7,2.90E-34
SymbC1.scaffold1445.8,1.18E-18
SymbC1.scaffold14450.1,4.59E-38
SymbC1.scaffold1447.10,0
SymbC1.scaffold1447.11,1.38E-16
SymbC1.scaffold1447.12,1.18E-139
SymbC1.scaffold1447.14,1.54E-113
SymbC1.scaffold1447.15,6.06E-71
SymbC1.scaffold1447.17,2.46E-72
SymbC1.scaffold1447.18,4.80E-43
SymbC1.scaffold1447.19,2.16E-39
SymbC1.scaffold1447.2,2.19E-20
SymbC1.scaffold1447.20,8.64E-07
SymbC1.scaffold1447.3,2.20E-16
SymbC1.scaffold1447.4,2.01E-75
SymbC1.scaffold1447.5,9.69E-07
SymbC1.scaffold1447.8,9.02E-12
